OpportunityName, CloseDate, Amount, CreatedDate, StageName, ForecastCategory, Probability, ExpectedRevenue
Opportunity for Lawson1843,2015-06-12,1876750,2015-06-12,Closed Won,Closed,100,187675000
Opportunity for Medina1844,2015-07-21,3570200,2015-07-01,Value Proposition,Pipeline,50,178510000
Opportunity for Adams708,2015-08-02,1269390,2014-12-26,Prospecting,Pipeline,10,12693900
Opportunity for Adams708,2015-12-30,1269390,2014-12-17,Prospecting,Pipeline,10,12693900
Opportunity for Adams708,2015-12-30,634695,2014-12-09,Prospecting,Pipeline,10,6346950
Opportunity for Luna711,2015-07-20,281700,2015-07-01,Value Proposition,Pipeline,50,14085000
Opportunity for Morgan713,2015-11-13,2717500,2015-04-20,Prospecting,Pipeline,10,27175000
Opportunity for Massey714,2015-07-04,559580,2015-07-04,Closed Won,Closed,100,55958000
Opportunity for Freeman717,2015-08-26,1023320,2015-07-01,Value Proposition,Pipeline,50,51166000
Opportunity for Freeman717,2015-12-05,1023320,2015-06-19,Value Proposition,Pipeline,50,51166000
Opportunity for Freeman717,2015-12-05,511660,2015-06-09,Value Proposition,Pipeline,50,25583000
Opportunity for Joseph722,2015-12-17,327145,2015-07-01,Value Proposition,Pipeline,50,16357250
Opportunity for Silva728,2015-07-16,1641600,2015-07-01,Perception Analysis,BestCase,70,114912000
Opportunity for Silva728,2015-11-21,1641600,2015-06-19,Perception Analysis,BestCase,70,114912000
Opportunity for Simpson729,2015-09-07,1666850,2015-02-11,Prospecting,Pipeline,10,16668500
Opportunity for Simpson729,2015-09-07,833425,2015-01-29,Prospecting,Pipeline,10,8334250
Opportunity for Todd1101,2015-06-14,173566,2015-06-14,Closed Won,Closed,100,17356600
Opportunity for Montgomery1103,2015-05-13,1058980,2015-05-13,Closed Won,Closed,100,105898000
Opportunity for Myers1105,2015-06-25,792270,2015-06-25,Closed Won,Closed,100,79227000
Opportunity for Gardner1110,2015-09-28,645700,2015-07-01,Needs Analysis,Pipeline,20,12914000
Opportunity for Harrington1112,2015-08-07,905000,2015-07-01,Qualification,Pipeline,10,9050000
Opportunity for Harrington1112,2015-12-27,905000,2015-06-30,Qualification,Pipeline,10,9050000
Opportunity for Tyler1115,2015-08-10,114000,2015-07-01,Value Proposition,Pipeline,50,5700000
Opportunity for Tyler1115,2015-08-10,57000,2015-06-29,Value Proposition,Pipeline,50,2850000
Opportunity for West1117,2015-05-25,3609320,2015-05-25,Closed Won,Closed,100,360932000
Opportunity for Rodriquez1469,2015-06-24,491550,2015-06-24,Closed Won,Closed,100,49155000
Opportunity for Santos1475,2015-05-29,345554,2015-05-29,Closed Won,Closed,100,34555400
Opportunity for Klein1486,2015-09-14,431073,2015-06-12,Prospecting,Pipeline,10,4310730
Opportunity for Smith1859,2015-11-13,1261290,2015-07-01,Negotiation/Review,Forecast,90,113516100
Opportunity for Smith1859,2015-07-03,1261290,2015-04-08,Negotiation/Review,Forecast,90,113516100
Opportunity for Mathis1864,2015-09-08,2628850,2015-07-01,Needs Analysis,Pipeline,20,52577000
Opportunity for Gibbs1874,2015-08-28,2058100,2015-07-01,Proposal/Price Quote,BestCase,75,154357500
Opportunity for Medina1876,2016-01-12,2859100,2015-07-01,Needs Analysis,Pipeline,20,57182000
Opportunity for Curry734,2015-08-30,40380,2015-07-01,Qualification,Pipeline,10,403800
Opportunity for Curry734,2015-08-30,60570,2015-06-23,Qualification,Pipeline,10,605700
Opportunity for Garner740,2015-08-24,155600,2015-07-01,Perception Analysis,BestCase,70,10892000
Opportunity for Garner740,2015-08-24,155600,2015-06-23,Closed Lost,Omitted,0,0
Opportunity for Garner740,2015-08-24,77800,2015-06-20,Perception Analysis,BestCase,70,5446000
Opportunity for Estrada1122,2015-11-25,466560,2015-07-01,Value Proposition,Pipeline,50,23328000
Opportunity for Miles1126,2015-06-14,142400,2015-06-14,Closed Won,Closed,100,14240000
Opportunity for Alvarado1128,2015-06-05,254886,2015-06-05,Closed Won,Closed,100,25488600
Opportunity for Malone1500,2015-05-11,583800,2015-05-11,Closed Won,Closed,100,58380000
Opportunity for Hardy1507,2015-09-14,594760,2015-07-01,Perception Analysis,BestCase,70,41633200
Opportunity for Hardy1507,2015-05-26,594760,2015-02-19,Perception Analysis,BestCase,70,41633200
Opportunity for Nguyen1510,2015-08-03,791500,2015-07-01,Qualification,Pipeline,10,7915000
Opportunity for Nguyen1510,2015-08-03,1187250,2015-06-17,Qualification,Pipeline,10,11872500
Opportunity for Bell1517,2015-05-30,448068,2015-05-30,Closed Won,Closed,100,44806800
Opportunity for Daniel1888,2015-07-16,1384600,2015-07-01,Value Proposition,Pipeline,50,69230000
Opportunity for Daniel1888,2015-07-16,692300,2015-06-23,Value Proposition,Pipeline,50,34615000
Opportunity for Phillips1889,2015-12-03,39600,2015-07-01,Value Proposition,Pipeline,50,1980000
Opportunity for Hall1897,2016-01-09,2925000,2015-07-01,Perception Analysis,BestCase,70,204750000
Opportunity for Walters765,2015-05-18,623750,2015-05-18,Closed Won,Closed,100,62375000
Opportunity for Drake768,2015-08-17,70368,2015-07-01,Perception Analysis,BestCase,70,4925760
Opportunity for Robbins1143,2015-12-18,365072,2015-07-01,Qualification,Pipeline,10,3650720
Opportunity for Lewis1160,2015-06-11,1132470,2015-06-11,Closed Won,Closed,100,113247000
Opportunity for Lloyd1165,2015-07-09,439380,2015-07-01,Value Proposition,Pipeline,50,21969000
Opportunity for Gill1167,2015-06-13,313200,2015-06-13,Closed Lost,Omitted,0,0
Opportunity for Edwards1901,2015-05-24,994680,2015-05-24,Closed Won,Closed,100,99468000
Opportunity for Stevenson1907,2015-08-12,28440,2015-07-01,Value Proposition,Pipeline,50,1422000
Opportunity for Stevenson1907,2015-08-12,42660,2015-06-30,Value Proposition,Pipeline,50,2133000
Opportunity for Chandler1913,2015-05-19,482760,2015-05-19,Closed Won,Closed,100,48276000
Opportunity for Walsh1918,2015-10-11,179700,2015-07-01,Proposal/Price Quote,BestCase,75,13477500
Opportunity for White1920,2015-05-09,1535500,2015-05-09,Closed Lost,Omitted,0,0
Opportunity for Reyes426,2015-09-14,830400,2015-07-01,Qualification,Pipeline,10,8304000
Opportunity for Ramos435,2015-06-20,2942705,2015-06-20,Closed Won,Closed,100,294270500
Opportunity for Blair798,2015-08-01,23642,2015-07-01,Qualification,Pipeline,10,236420
Opportunity for Blair798,2015-12-02,23642,2015-06-24,Qualification,Pipeline,10,236420
Opportunity for Blair798,2015-12-02,11821,2015-06-19,Qualification,Pipeline,10,118210
Opportunity for Beck799,2015-05-10,363453,2015-05-10,Closed Won,Closed,100,36345300
Opportunity for Sullivan800,2015-07-18,577250,2015-07-01,Negotiation/Review,Forecast,90,51952500
Opportunity for George802,2015-05-19,214100,2015-05-19,Closed Won,Closed,100,21410000
Opportunity for Carson1177,2015-05-19,93733,2015-05-19,Closed Lost,Omitted,0,0
Opportunity for Rice1187,2016-01-20,261400,2015-07-01,Proposal/Price Quote,BestCase,75,19605000
Opportunity for McKinney1548,2015-11-21,3526355,2015-07-01,Qualification,Pipeline,10,35263550
Opportunity for Burgess1551,2015-06-10,68600,2015-06-10,Closed Won,Closed,100,6860000
Opportunity for Reynolds1553,2015-08-17,3464115,2015-07-01,Value Proposition,Pipeline,50,173205750
Opportunity for Reynolds1553,2015-12-07,3464115,2015-06-20,Value Proposition,Pipeline,50,173205750
Opportunity for Mitchell1555,2015-07-01,123280,2015-07-01,Closed Won,Closed,100,12328000
Opportunity for Joseph1936,2015-06-18,2920800,2015-06-18,Closed Won,Closed,100,292080000
Opportunity for Todd1938,2016-01-01,466200,2015-07-01,Qualification,Pipeline,10,4662000
Opportunity for Waters1946,2015-06-21,17000,2015-06-21,Closed Lost,Omitted,0,0
Opportunity for Hamilton810,2016-02-11,895290,2015-07-01,Needs Analysis,Pipeline,20,17905800
Opportunity for Stokes814,2015-09-25,1750,2015-07-01,Needs Analysis,Pipeline,20,35000
Opportunity for Banks821,2015-10-06,133017,2015-07-01,Perception Analysis,BestCase,70,9311190
Opportunity for Banks821,2015-07-20,133017,2015-03-04,Perception Analysis,BestCase,70,9311190
Opportunity for Johnston824,2015-10-02,913860,2015-07-01,Value Proposition,Pipeline,50,45693000
Opportunity for Parks826,2015-06-17,411185,2015-06-17,Closed Won,Closed,100,41118500
Opportunity for Hayes1197,2015-07-09,1593200,2015-07-01,Perception Analysis,BestCase,70,111524000
Opportunity for Hayes1197,2015-07-09,796600,2015-06-24,Perception Analysis,BestCase,70,55762000
Opportunity for Logan1198,2015-06-13,40480,2015-06-13,Closed Lost,Omitted,0,0
Opportunity for Nichols1204,2015-05-26,2169600,2015-05-26,Closed Won,Closed,100,216960000
Opportunity for Howard1207,2016-01-22,449438,2015-07-01,Value Proposition,Pipeline,50,22471900
Opportunity for Webster1954,2015-06-27,171660,2015-06-27,Closed Won,Closed,100,17166000
Opportunity for Harper1957,2015-07-05,421000,2015-07-05,Closed Won,Closed,100,42100000
Opportunity for Murphy1963,2015-11-20,1241390,2015-07-01,Negotiation/Review,Forecast,90,111725100
Opportunity for Bowen1968,2015-07-15,125340,2015-07-01,Qualification,Pipeline,10,1253400
Opportunity for Bowen1968,2015-07-15,62670,2015-06-25,Qualification,Pipeline,10,626700
Opportunity for Nguyen1971,2015-10-16,2049800,2015-07-01,Proposal/Price Quote,BestCase,75,153735000
Opportunity for Malone1973,2015-08-01,108630,2015-07-01,Value Proposition,Pipeline,50,5431500
Opportunity for Santiago1975,2015-09-26,122200,2015-05-20,Prospecting,Pipeline,10,1222000
Opportunity for Tucker470,2015-08-11,2254450,2015-07-01,Negotiation/Review,Forecast,90,202900500
Opportunity for Tucker470,2015-12-03,2254450,2015-06-19,Negotiation/Review,Forecast,90,202900500
Opportunity for Tucker470,2015-12-03,1127225,2015-06-06,Negotiation/Review,Forecast,90,101450250
Opportunity for Stokes477,2015-06-24,328949,2015-06-24,Closed Won,Closed,100,32894900
Opportunity for Henry479,2015-06-24,3168250,2015-06-24,Closed Won,Closed,100,316825000
Opportunity for Shaw480,2015-09-03,605000,2015-07-01,Perception Analysis,BestCase,70,42350000
Opportunity for Shaw480,2015-09-03,302500,2015-06-30,Perception Analysis,BestCase,70,21175000
Opportunity for Silva482,2015-05-26,115290,2015-05-26,Closed Won,Closed,100,11529000
Opportunity for Sanchez828,2015-08-03,397710,2015-07-01,Negotiation/Review,Forecast,90,35793900
Opportunity for Nash833,2015-06-07,51480,2015-06-07,Closed Won,Closed,100,5148000
Opportunity for Hughes845,2015-08-06,1405500,2015-07-01,Needs Analysis,Pipeline,20,28110000
Opportunity for Hughes845,2015-08-06,2108250,2015-06-19,Needs Analysis,Pipeline,20,42165000
Opportunity for Carpenter1221,2015-07-22,2887700,2015-07-01,Proposal/Price Quote,BestCase,75,216577500
Opportunity for Carpenter1221,2015-07-22,1443850,2015-06-20,Proposal/Price Quote,BestCase,75,108288750
Opportunity for Spencer1223,2015-10-14,32480,2015-07-01,Perception Analysis,BestCase,70,2273600
Opportunity for Romero1224,2015-11-07,4561,2015-07-01,Perception Analysis,BestCase,70,319270
Opportunity for Young1227,2015-07-04,1207960,2015-07-04,Closed Won,Closed,100,120796000
Opportunity for Paul1228,2015-06-11,368530,2015-06-11,Closed Won,Closed,100,36853000
Opportunity for Brown1230,2015-11-01,2454990,2015-07-01,Qualification,Pipeline,10,24549900
Opportunity for Bass1237,2016-01-15,2855840,2015-07-01,Qualification,Pipeline,10,28558400
Opportunity for Barker1602,2015-10-11,951000,2015-07-01,Needs Analysis,Pipeline,20,19020000
Opportunity for McLaughlin1979,2015-07-06,98850,2015-07-06,Closed Won,Closed,100,9885000
Opportunity for Park1980,2015-10-15,532950,2015-07-01,Value Proposition,Pipeline,50,26647500
Opportunity for Paul1992,2015-07-07,650350,2015-07-07,Closed Lost,Omitted,0,0
Opportunity for Burton1994,2015-12-21,987930,2015-07-01,Needs Analysis,Pipeline,20,19758600
Opportunity for Santiago1997,2015-06-26,1394000,2015-06-26,Closed Won,Closed,100,139400000
Opportunity for Spencer490,2015-05-30,281412,2015-05-30,Closed Lost,Omitted,0,0
Opportunity for Lyons494,2016-01-30,2371900,2015-07-01,Qualification,Pipeline,10,23719000
Opportunity for Pope508,2015-06-23,499523,2015-06-23,Closed Lost,Omitted,0,0
Opportunity for Fernandez851,2015-05-12,352350,2015-05-12,Closed Won,Closed,100,35235000
Opportunity for Gordon852,2015-10-18,762410,2015-07-01,Qualification,Pipeline,10,7624100
Opportunity for Hall1246,2015-07-09,937550,2015-07-01,Value Proposition,Pipeline,50,46877500
Opportunity for Cole1249,2015-07-09,50890,2015-07-01,Perception Analysis,BestCase,70,3562300
Opportunity for Cole1249,2015-07-09,25445,2015-06-26,Perception Analysis,BestCase,70,1781150
Opportunity for Cook1618,2015-05-28,835870,2015-05-28,Closed Lost,Omitted,0,0
Opportunity for Stanley1623,2015-07-02,15637,2015-07-02,Closed Won,Closed,100,1563700
Opportunity for Elliott511,2015-11-15,679555,2015-07-01,Needs Analysis,Pipeline,20,13591100
Opportunity for Collier517,2015-09-12,211050,2015-07-01,Qualification,Pipeline,10,2110500
Opportunity for Hansen520,2015-08-28,104940,2015-07-01,Value Proposition,Pipeline,50,5247000
Opportunity for Hansen520,2015-12-10,104940,2015-06-23,Value Proposition,Pipeline,50,5247000
Opportunity for Hansen520,2015-12-10,157410,2015-06-20,Value Proposition,Pipeline,50,7870500
Opportunity for Duncan885,2015-09-04,413101,2015-07-01,Qualification,Pipeline,10,4131010
Opportunity for Duncan885,2015-09-04,619652,2015-06-19,Qualification,Pipeline,10,6196520
Opportunity for Perkins1263,2015-10-18,1314185,2015-07-01,Negotiation/Review,Forecast,90,118276650
Opportunity for Patton1278,2015-06-17,2477275,2015-06-17,Closed Won,Closed,100,247727500
Opportunity for Chandler1281,2015-10-13,2336600,2015-07-01,Perception Analysis,BestCase,70,163562000
Opportunity for Jacobs1642,2015-06-27,2560600,2015-06-27,Closed Lost,Omitted,0,0
Opportunity for McKenzie1652,2015-07-03,2386625,2015-07-03,Closed Won,Closed,100,238662500
Opportunity for Newton532,2015-07-15,45265,2015-07-01,Negotiation/Review,Forecast,90,4073850
Opportunity for Newton532,2015-07-15,45265,2015-06-30,Closed Lost,Omitted,0,0
Opportunity for Wilkerson900,2016-01-07,3537660,2015-06-04,Prospecting,Pipeline,10,35376600
Opportunity for Doyle904,2015-05-27,94283,2015-05-27,Closed Won,Closed,100,9428300
Opportunity for Evans911,2015-07-13,185630,2015-07-01,Value Proposition,Pipeline,50,9281500
Opportunity for Evans911,2016-01-04,185630,2015-06-24,Value Proposition,Pipeline,50,9281500
Opportunity for Colon1295,2015-05-18,667200,2015-05-18,Closed Won,Closed,100,66720000
Opportunity for Flores1296,2015-05-10,2325850,2015-05-10,Closed Won,Closed,100,232585000
Opportunity for Baker1304,2016-01-14,1918900,2015-07-01,Qualification,Pipeline,10,19189000
Opportunity for Santos1305,2015-07-29,14640,2015-07-01,Proposal/Price Quote,BestCase,75,1098000
Opportunity for Santos1305,2015-07-29,7320,2015-06-21,Proposal/Price Quote,BestCase,75,549000
Opportunity for Henry1665,2015-05-29,49760,2015-05-29,Closed Won,Closed,100,4976000
Opportunity for Barton1670,2015-10-30,364760,2015-06-09,Prospecting,Pipeline,10,3647600
Opportunity for Ramsey1673,2015-08-10,3351780,2015-07-01,Needs Analysis,Pipeline,20,67035600
Opportunity for Ramsey1673,2015-12-18,3351780,2015-06-27,Needs Analysis,Pipeline,20,67035600
Opportunity for Ramsey1673,2015-12-18,1675890,2015-06-21,Needs Analysis,Pipeline,20,33517800
Opportunity for Taylor1674,2015-07-02,1542350,2015-07-02,Closed Won,Closed,100,154235000
Opportunity for Johnston1675,2015-05-31,804275,2015-05-31,Closed Won,Closed,100,80427500
Opportunity for Clayton1676,2015-12-07,41500,2015-07-01,Needs Analysis,Pipeline,20,830000
Opportunity for Stokes556,2015-05-25,40900,2015-05-25,Closed Won,Closed,100,4090000
Opportunity for Franklin560,2015-09-08,1420100,2015-04-08,Prospecting,Pipeline,10,14201000
Opportunity for Burton933,2015-06-17,388760,2015-06-17,Closed Lost,Omitted,0,0
Opportunity for Mack935,2015-05-22,76800,2015-05-22,Closed Won,Closed,100,7680000
Opportunity for Cruz1306,2015-07-16,578880,2015-07-01,Perception Analysis,BestCase,70,40521600
Opportunity for Cruz1306,2015-07-16,289440,2015-06-25,Perception Analysis,BestCase,70,20260800
Opportunity for Johnson1307,2015-05-18,2165900,2015-05-18,Closed Lost,Omitted,0,0
Opportunity for Steele1680,2015-07-01,2207200,2015-07-01,Closed Won,Closed,100,220720000
Opportunity for Barnett1692,2015-07-10,4708010,2015-07-01,Needs Analysis,Pipeline,20,94160200
Opportunity for Reese570,2015-07-17,2217555,2015-03-26,Prospecting,Pipeline,10,22175550
Opportunity for Reese570,2015-07-17,1108778,2015-03-13,Prospecting,Pipeline,10,11087780
Opportunity for Butler582,2015-11-11,224800,2015-05-09,Prospecting,Pipeline,10,2248000
Opportunity for Dunn946,2015-06-25,2389600,2015-06-25,Closed Won,Closed,100,238960000
Opportunity for Davis947,2015-06-09,1574960,2015-06-09,Closed Won,Closed,100,157496000
Opportunity for Stokes949,2015-10-13,3915950,2015-07-01,Needs Analysis,Pipeline,20,78319000
Opportunity for Bryant952,2015-07-17,1379300,2015-07-01,Value Proposition,Pipeline,50,68965000
Opportunity for Salazar953,2015-08-22,100267,2015-07-01,Perception Analysis,BestCase,70,7018690
Opportunity for Alexander954,2015-11-02,895135,2015-07-01,Value Proposition,Pipeline,50,44756750
Opportunity for Alexander954,2015-05-24,895135,2015-04-11,Value Proposition,Pipeline,50,44756750
Opportunity for Dennis956,2015-09-23,2285700,2015-07-01,Qualification,Pipeline,10,22857000
Opportunity for Estrada957,2015-10-05,488860,2015-07-01,Negotiation/Review,Forecast,90,43997400
Opportunity for Estrada957,2015-06-15,488860,2015-03-04,Negotiation/Review,Forecast,90,43997400
Opportunity for Rodriquez958,2016-01-24,413100,2015-07-01,Qualification,Pipeline,10,4131000
Opportunity for Jimenez961,2015-10-02,449700,2015-07-01,Needs Analysis,Pipeline,20,8994000
Opportunity for Moore962,2015-10-11,39960,2015-07-01,Negotiation/Review,Forecast,90,3596400
Opportunity for Wade966,2015-11-29,552000,2015-07-01,Needs Analysis,Pipeline,20,11040000
Opportunity for Malone1334,2015-12-21,3847700,2015-07-01,Needs Analysis,Pipeline,20,76954000
