Industry,Name,AccountSource,BillingCountry,BillingState,Owner.Name,Type,AnnualRevenue,NumberOfEmployees,Segment,Sic
Media,Lopez363 Inc,Word of mouth,Russian,,Evelyn Williamson,Customer,1000000,5000,MM,1629
Insurance,Ross364 Inc,Public Relations,Normway,,Johnny Green,Customer,1000000,5000,MM,2400
Banking,Luna365 Inc,Partner,USA,WV,Harold Campbell,Partner,1000000,5000,ESMB,74100
Technology,Moreno366 Inc,Web,Canada,NY,Bruce Kennedy,Customer,1000000,5000,ENT,47710
Healthcare,Clarke367 Inc,Web,Turkey,,Harold Campbell,Customer,1000000,5000,MM,47721
Biotechnology,Dunn368 Inc,Partner,USA,ID,John Williams,Customer,1000000,5000,COMM,47722
Media,Coleman369 Inc,Employee Referral,Canada,CO,Bruce Kennedy,Customer,1000000,5000,MM,74100
Finance,Beck370 Inc,Advertisement,Hong Kong,,Laura Palmer,Customer,1000000,5000,GB,47710
Insurance,Dennis371 Inc,Word of mouth,Brazil,,Bruce Kennedy,Customer,1000000,5000,COMM,47721
Consulting,Abbott372 Inc,Word of mouth,USA,HI,Bruce Kennedy,Partner,1000000,5000,GB,47722
Education,Duncan373 Inc,Employee Referral,Japan,,Nicolas Weaver,Partner,1000000,5000,ESMB,74100
Agriculture,Fuller374 Inc,Employee Referral,USA,DE,Johnny Green,Customer,1000000,5000,MM,47710
Insurance,Klein375 Inc,Web,Canada,UT,Catherine Brown,Customer,1000000,5000,MM,47721
Biotechnology,Dixon376 Inc,Public Relations,USA,NH,Laura Palmer,Customer,1000000,5000,MM,47722
Energy,Rivera377 Inc,Employee Referral,Sweden,,Irene McCoy,Partner,1000000,5000,GB,74100
Insurance,Armstrong378 Inc,Trade Show,Canada,NE,Johnny Green,Customer,1000000,5000,GB,47710
Apparel,Banks379 Inc,Employee Referral,Japan,,Eric Sanchez,Partner,1000000,5000,ESMB,47721
Banking,Nash380 Inc,Advertisement,Normway,,Dennis Howard,Customer,1000000,5000,SMB,47722
Apparel,Webb381 Inc,Advertisement,Denmark,,Dennis Howard,Customer,1000000,5000,ESMB,74100
Agriculture,Robinson382 Inc,Employee Referral,China,,Kelly Frazier,Partner,1000000,5000,ESMB,47710
Electronics,Houston383 Inc,Trade Show,USA,CT,Julie Chavez,Customer,1000000,5000,GB,47721
Insurance,Rios384 Inc,Web,Japan,,Eric Gutierrez,Partner,1000000,5000,ENT,47722
Apparel,Rivera385 Inc,Advertisement,Japan,,Kelly Frazier,Customer,1000000,5000,MM,74100
Retail,Arnold386 Inc,Word of mouth,Canada,RI,Irene McCoy,Customer,1000000,5000,GB,47710
Technology,Banks163 Inc,Partner,USA,TX,Eric Gutierrez,Customer,1000000,5000,SMB,47721
Telecommunications,King177 Inc,Web,USA,TX,Catherine Brown,Customer,1000000,5000,SMB,47722
Apparel,Morrison178 Inc,Partner,Normway,,Dennis Howard,Customer,1000000,5000,COMM,74100
Engineering,Perez179 Inc,Partner,Taiwan,,Nicolas Weaver,Customer,1000000,5000,MM,47710
Media,Quinn180 Inc,Advertisement,USA,KS,Johnny Green,Customer,1000000,5000,GB,47721
Biotechnology,Martinez181 Inc,Partner,USA,ME,Julie Chavez,Customer,1000000,5000,SMB,47722
Apparel,Allen182 Inc,Trade Show,Switzerland,,Irene McCoy,Customer,1000000,5000,MM,74100
Apparel,Williamson183 Inc,Advertisement,Canada,NM,Bruce Kennedy,Partner,1000000,5000,SMB,47710
Education,Crawford184 Inc,Partner,Canada,OK,Laura Garza,Customer,1000000,5000,SMB,47721
Banking,Klein185 Inc,Employee Referral,Switzerland,,Johnny Green,Customer,1000000,5000,SMB,47722
Retail,Reed186 Inc,Web,Germany,,Irene McCoy,Customer,1000000,5000,COMM,74100
Energy,Duncan187 Inc,Word of mouth,Italy,,Laura Palmer,Partner,1000000,5000,GB,47710
Electronics,Christensen164 Inc,Web,Japan,,Harold Campbell,Customer,1000000,5000,MM,47721
Apparel,Webb165 Inc,Employee Referral,Canada,NE,Doroth Gardner,Customer,1000000,5000,MM,47722
Utilities,Figueroa166 Inc,Partner,Belgium,,Catherine Brown,Customer,1000000,5000,SMB,74100
Energy,Stone167 Inc,Word of mouth,USA,CO,Johnny Green,Partner,1000000,5000,ESMB,47710
Apparel,Newman168 Inc,Employee Referral,United Kingdom,,Doroth Gardner,Partner,1000000,5000,COMM,47721
Consulting,Baker169 Inc,Employee Referral,China,,Dennis Howard,Customer,1000000,5000,ENT,47722
Banking,Coleman170 Inc,Partner,Taiwan,,John Williams,Customer,1000000,5000,ENT,74100
Transportation,Olson171 Inc,Word of mouth,United Kingdom,,Nicolas Weaver,Customer,1000000,5000,COMM,47710
Utilities,Carter172 Inc,Trade Show,Australia,,Johnny Green,Partner,1000000,5000,ENT,47721
Transportation,Greer173 Inc,Advertisement,Canada,MN,Irene McCoy,Customer,1000000,5000,COMM,47722
Healthcare,Jordan174 Inc,Word of mouth,India,,Johnny Green,Customer,1000000,5000,ENT,74100
Insurance,Wise175 Inc,Seminar - Internal,USA,SC,Dennis Howard,Partner,1000000,5000,MM,47710
Energy,Carpenter176 Inc,Public Relations,Japan,,Laura Palmer,Partner,1000000,5000,SMB,47721
Retail,Flores188 Inc,Employee Referral,Canada,VA,Chris Riley,Customer,1000000,5000,MM,47722
Transportation,Hoffman387 Inc,Partner,Canada,WV,Bruce Kennedy,Partner,1000000,5000,GB,74100
Education,Ross388 Inc,Web,USA,IA,Eric Gutierrez,Customer,1000000,5000,MM,47710
Manufacturing,Fleming389 Inc,Word of mouth,Switzerland,,John Williams,Customer,1000000,5000,ESMB,47721
Energy,Gardner390 Inc,Web,Germany,,Irene Kelley,Customer,1000000,5000,MM,47722
Insurance,Stephens391 Inc,Trade Show,Canada,MI,Eric Gutierrez,Customer,1000000,5000,COMM,74100
Retail,Pratt392 Inc,Employee Referral,Russian,,Johnny Green,Partner,1000000,5000,ESMB,47710
Education,Wilson393 Inc,Advertisement,Brazil,,Catherine Brown,Customer,1000000,5000,MM,47721
Education,Robinson394 Inc,Word of mouth,Italy,,Irene McCoy,Customer,1000000,5000,MM,47722
Engineering,Rivera395 Inc,Seminar - Internal,USA,ND,Laura Palmer,Customer,2000000,8000,SMB,74100
Finance,Cook396 Inc,Advertisement,Singapore,,Laura Palmer,Partner,2000000,8000,SMB,47710
Education,Warren397 Inc,Employee Referral,USA,SC,Nicolas Weaver,Customer,2000000,8000,SMB,47721
Media,Brewer398 Inc,Word of mouth,Canada,DC,Nicolas Weaver,Customer,2000000,8000,ENT,47722
Manufacturing,Pittman399 Inc,Employee Referral,USA,ME,John Williams,Customer,2000000,8000,SMB,74100
Telecommunications,Owens400 Inc,Advertisement,USA,IA,Nicolas Weaver,Customer,2000000,8000,ENT,47710
Communications,Tucker401 Inc,Employee Referral,Japan,,Harold Campbell,Customer,2000000,8000,SMB,47721
Finance,Briggs402 Inc,Seminar - Internal,Taiwan,,Irene McCoy,Customer,2000000,8000,SMB,47722
Agriculture,Scott403 Inc,Web,USA,CT,Irene McCoy,Partner,2000000,8000,ESMB,74100
Agriculture,Watson404 Inc,Web,Brazil,,Catherine Brown,Customer,2000000,8000,GB,47710
Energy,Henry405 Inc,Advertisement,United Kingdom,,Dennis Howard,Customer,2000000,8000,SMB,47721
Engineering,Gordon406 Inc,Advertisement,Denmark,,Laura Palmer,Customer,2000000,8000,COMM,47722
Utilities,Oliver407 Inc,Word of mouth,Brazil,,Bruce Kennedy,Customer,2000000,8000,ENT,74100
Technology,Myers408 Inc,Employee Referral,USA,MO,Kelly Frazier,Partner,2000000,8000,ESMB,64191
Engineering,Gonzales409 Inc,Web,Denmark,,Doroth Gardner,Customer,2000000,8000,GB,64192
Consulting,Myers581 Inc,Employee Referral,Canada,FL,Eric Sanchez,Customer,2000000,8000,ESMB,64205
Technology,Flores582 Inc,Partner,USA,CA,Doroth Gardner,Partner,2000000,8000,MM,64929
Apparel,Schultz583 Inc,Word of mouth,Sweden,,Irene Kelley,Partner,2000000,8000,ESMB,64991
Banking,Guerrero584 Inc,Employee Referral,Thailand,,Eric Sanchez,Customer,2000000,8000,SMB,66110
Finance,Gill585 Inc,Web,Russian,,Eric Gutierrez,Customer,2000000,8000,SMB,64191
Technology,McCoy586 Inc,Employee Referral,USA,IN,Julie Chavez,Customer,2000000,8000,GB,64192
Communications,Griffin587 Inc,Word of mouth,Korea,,Dennis Howard,Customer,2000000,8000,MM,64205
Transportation,Owens588 Inc,Web,Germany,,Nicolas Weaver,Customer,2000000,8000,COMM,64929
Consulting,Jackson589 Inc,Trade Show,Taiwan,,Kelly Frazier,Customer,2000000,8000,MM,64991
Retail,Perez590 Inc,Trade Show,USA,MA,Eric Gutierrez,Customer,2000000,8000,SMB,66110
Biotechnology,Klein591 Inc,Employee Referral,Korea,,Irene Kelley,Customer,2000000,8000,GB,64191
Banking,Stone592 Inc,Word of mouth,Japan,,Laura Garza,Customer,2000000,8000,COMM,64192
Engineering,Yates593 Inc,Advertisement,Japan,,Nicolas Weaver,Customer,2000000,8000,ESMB,64205
Energy,Benson594 Inc,Partner,USA,DE,Dennis Howard,Customer,2000000,8000,SMB,64929
Banking,Mendez595 Inc,Public Relations,USA,NM,Catherine Brown,Partner,2000000,8000,ESMB,64991
Biotechnology,Chambers596 Inc,Trade Show,Brazil,,Harold Campbell,Partner,2000000,8000,SMB,66110
Agriculture,Bishop597 Inc,Advertisement,United Kingdom,,Chris Riley,Customer,2000000,8000,MM,64191
Manufacturing,Black598 Inc,Partner,Japan,,Evelyn Williamson,Partner,2000000,8000,SMB,64192
Energy,Joseph599 Inc,Seminar - Internal,USA,IL,Johnny Green,Customer,2000000,8000,SMB,64205
Telecommunications,Hopkins600 Inc,Advertisement,France,,Evelyn Williamson,Partner,2000000,8000,GB,64929
Engineering,Rios771 Inc,Partner,India,,Dennis Howard,Partner,2000000,8000,COMM,64991
Transportation,Rice189 Inc,Employee Referral,Belgium,,John Williams,Customer,2000000,8000,ESMB,66110
Finance,Diaz190 Inc,Trade Show,Normway,,John Williams,Customer,2000000,8000,MM,64191
Energy,Houston191 Inc,Partner,Canada,CA,Catherine Brown,Customer,2000000,8000,ESMB,64192
Engineering,Lee192 Inc,Seminar - Internal,Mexico,,Johnny Green,Customer,2000000,8000,MM,64205
Retail,Curtis193 Inc,Employee Referral,USA,HI,Harold Campbell,Customer,2000000,8000,COMM,64929
Communications,Jensen194 Inc,Word of mouth,Japan,,Kelly Frazier,Customer,2000000,8000,MM,64991
Transportation,Harris195 Inc,Employee Referral,Switzerland,,Irene Kelley,Partner,2000000,8000,MM,66110
Utilities,Vasquez196 Inc,Employee Referral,Taiwan,,Nicolas Weaver,Customer,2000000,8000,SMB,64191
Communications,Webster197 Inc,Employee Referral,Japan,,Irene McCoy,Customer,2000000,8000,SMB,64192
Transportation,Perkins198 Inc,Partner,Normway,,Dennis Howard,Customer,2000000,8000,SMB,64205
Transportation,Montgomery199 Inc,Public Relations,Normway,,Julie Chavez,Customer,2000000,8000,GB,64929
Insurance,Stokes200 Inc,Seminar - Internal,Italy,,Nicolas Weaver,Partner,2000000,8000,MM,64991
Technology,Austin201 Inc,Word of mouth,Russian,,Eric Gutierrez,Customer,2000000,8000,ESMB,66110
Apparel,Reeves202 Inc,Partner,Sweden,,Irene McCoy,Customer,2000000,8000,COMM,64191
Healthcare,Simmons203 Inc,Advertisement,USA,NC,Chris Riley,Customer,2000000,8000,ENT,64192
Technology,Howell204 Inc,Trade Show,Canada,OK,Johnny Green,Customer,2000000,8000,COMM,64205
Manufacturing,Sandoval205 Inc,Partner,Russian,,Julie Chavez,Customer,2000000,8000,GB,64929
Biotechnology,Miller206 Inc,Public Relations,Italy,,Laura Palmer,Partner,2000000,8000,COMM,64991
Banking,Stone207 Inc,Word of mouth,Russian,,Laura Garza,Customer,2000000,8000,ESMB,66110
Energy,Thomas208 Inc,Partner,Hong Kong,,Eric Gutierrez,Customer,2000000,8000,COMM,64191
Utilities,Gonzales209 Inc,Partner,Brazil,,Harold Campbell,Customer,2000000,8000,COMM,64192
Agriculture,Romero210 Inc,Word of mouth,USA,AZ,Eric Sanchez,Customer,2000000,8000,GB,64205
Banking,Simmons211 Inc,Advertisement,USA,AZ,Catherine Brown,Customer,2000000,8000,SMB,64929
Manufacturing,Cannon212 Inc,Public Relations,USA,VT,Johnny Green,Customer,2000000,8000,MM,64991
Insurance,Barker213 Inc,Employee Referral,India,,Eric Gutierrez,Customer,2000000,8000,GB,66110
Electronics,Vega214 Inc,Advertisement,Russian,,John Williams,Customer,2000000,8000,SMB,64191
Biotechnology,Pittman435 Inc,Word of mouth,Russian,,Irene McCoy,Customer,2000000,8000,COMM,64192
Media,Foster410 Inc,Trade Show,Japan,,Laura Garza,Customer,2000000,8000,GB,64205
Communications,Payne411 Inc,Word of mouth,USA,VT,Irene Kelley,Customer,2000000,8000,SMB,64929
Banking,Rodriquez412 Inc,Web,USA,IN,Irene Kelley,Customer,2000000,8000,SMB,64991
Banking,Hawkins413 Inc,Public Relations,Normway,,Johnny Green,Partner,2000000,8000,ESMB,66110
Communications,Stone414 Inc,Web,Japan,,Harold Campbell,Partner,2000000,8000,SMB,64191
Technology,Daniel415 Inc,Web,Brazil,,Irene McCoy,Customer,2000000,8000,SMB,64192
Energy,West416 Inc,Advertisement,United Kingdom,,Laura Garza,Customer,2000000,8000,SMB,64205
Manufacturing,Wells417 Inc,Advertisement,Hong Kong,,Dennis Howard,Customer,2000000,8000,SMB,64929
Electronics,Tyler418 Inc,Partner,Canada,PA,Johnny Green,Partner,2000000,8000,ESMB,64991
Energy,Joseph419 Inc,Partner,Canada,CA,Bruce Kennedy,Customer,2000000,8000,SMB,66110
Media,Curry420 Inc,Partner,Turkey,,Chris Riley,Customer,2000000,8000,SMB,64191
Education,Wagner421 Inc,Word of mouth,USA,MO,Doroth Gardner,Customer,2000000,8000,COMM,64192
Electronics,Rodriguez422 Inc,Employee Referral,Canada,SC,Doroth Gardner,Customer,2000000,8000,GB,64205
Banking,Wells423 Inc,Word of mouth,USA,NV,Julie Chavez,Customer,2000000,8000,COMM,64929
Electronics,Larson424 Inc,Trade Show,USA,UT,Laura Garza,Customer,2000000,8000,ESMB,64991
Biotechnology,Davis425 Inc,Advertisement,USA,WY,Laura Garza,Customer,2000000,8000,COMM,66110
Healthcare,Abbott426 Inc,Advertisement,Sweden,,Irene McCoy,Partner,2000000,8000,SMB,21100
Energy,Garza427 Inc,Partner,Turkey,,Eric Sanchez,Partner,2000000,8000,COMM,72110
Healthcare,Sparks428 Inc,Word of mouth,Japan,,Harold Campbell,Customer,2000000,8000,GB,21100
Retail,Fletcher429 Inc,Employee Referral,Germany,,Irene McCoy,Customer,2000000,8000,SMB,72110
Banking,Morris430 Inc,Employee Referral,USA,ND,Eric Sanchez,Partner,2000000,8000,ESMB,21100
Engineering,James431 Inc,Word of mouth,Singapore,,Evelyn Williamson,Customer,2000000,8000,GB,72110
Technology,Newman432 Inc,Seminar - Internal,Canada,NM,Doroth Gardner,Customer,2000000,8000,MM,21100
Telecommunications,Duncan433 Inc,Advertisement,Canada,MI,Chris Riley,Customer,2000000,8000,COMM,72110
Transportation,Edwards434 Inc,Seminar - Internal,USA,IN,Eric Gutierrez,Partner,2000000,8000,COMM,21100
Technology,Roberson601 Inc,Employee Referral,Belgium,,Laura Garza,Partner,2000000,8000,ENT,72110
Healthcare,McCarthy602 Inc,Word of mouth,Hong Kong,,Eric Gutierrez,Partner,2000000,8000,SMB,21100
Insurance,Chavez603 Inc,Employee Referral,China,,Evelyn Williamson,Partner,2000000,8000,SMB,72110
Media,Reed604 Inc,Trade Show,Germany,,Chris Riley,Customer,2000000,8000,GB,21100
Banking,Lopez605 Inc,Trade Show,Canada,AL,Nicolas Weaver,Customer,2000000,8000,GB,72110
Healthcare,Davidson606 Inc,Partner,Switzerland,,Julie Chavez,Customer,2000000,8000,GB,21100
Insurance,Hayes607 Inc,Trade Show,Turkey,,Catherine Brown,Customer,2000000,8000,MM,72110
Media,Rodriguez608 Inc,Public Relations,USA,FL,Johnny Green,Partner,2000000,8000,SMB,21100
Finance,Buchanan609 Inc,Word of mouth,USA,AZ,Kelly Frazier,Partner,2000000,8000,ENT,72110
Transportation,Potter610 Inc,Employee Referral,USA,NH,Evelyn Williamson,Customer,2000000,8000,MM,21100
Consulting,Lamb611 Inc,Word of mouth,Thailand,,Bruce Kennedy,Partner,2000000,8000,MM,72110
Agriculture,Day612 Inc,Web,USA,AR,Laura Palmer,Customer,2000000,8000,SMB,21100
Transportation,Moody613 Inc,Web,Japan,,Dennis Howard,Customer,2000000,8000,MM,72110
Finance,Marsh614 Inc,Partner,Mexico,,Nicolas Weaver,Partner,2000000,8000,MM,21100
Insurance,Lee615 Inc,Trade Show,Turkey,,Harold Campbell,Customer,2000000,8000,COMM,72110
Media,Ingram616 Inc,Partner,Canada,NH,John Williams,Customer,2000000,8000,ESMB,21100
Telecommunications,Roy617 Inc,Employee Referral,Canada,TX,John Williams,Customer,2000000,8000,MM,72110
Transportation,Buchanan618 Inc,Web,Turkey,,Dennis Howard,Customer,2000000,8000,SMB,21100
Banking,Maxwell619 Inc,Partner,USA,MO,Bruce Kennedy,Customer,2000000,8000,MM,72110
Manufacturing,Castillo620 Inc,Web,USA,ME,John Williams,Partner,2000000,8000,SMB,21100
Utilities,Lopez621 Inc,Word of mouth,France,,John Williams,Customer,2000000,8000,GB,72110
Energy,Thompson622 Inc,Word of mouth,Japan,,Julie Chavez,Customer,2000000,8000,SMB,21100
Apparel,Haynes623 Inc,Seminar - Internal,Korea,,Dennis Howard,Partner,2000000,8000,SMB,72110
Apparel,Quinn624 Inc,Trade Show,India,,Laura Palmer,Partner,2000000,8000,COMM,21100
Apparel,Lawrence772 Inc,Web,United Kingdom,,Irene Kelley,Customer,2000000,8000,ESMB,72110
Technology,Duncan773 Inc,Seminar - Internal,Japan,,Eric Sanchez,Customer,2000000,8000,ESMB,21100
Media,Gilbert774 Inc,Word of mouth,USA,MO,Bruce Kennedy,Partner,2000000,8000,MM,72110
Media,Joseph775 Inc,Public Relations,Canada,AZ,Doroth Gardner,Partner,2000000,8000,SMB,21100
Finance,Bridges776 Inc,Web,USA,WA,Johnny Green,Customer,2000000,8000,MM,72110
Apparel,Figueroa777 Inc,Web,USA,CT,Eric Gutierrez,Partner,2000000,8000,COMM,21100
Apparel,Santiago778 Inc,Seminar - Internal,Japan,,Chris Riley,Partner,2000000,8000,GB,72110
Telecommunications,Richardson779 Inc,Word of mouth,Canada,NV,Dennis Howard,Partner,2000000,8000,ESMB,21100
Energy,Hamilton780 Inc,Employee Referral,Singapore,,Laura Garza,Partner,2000000,8000,MM,72110
Media,Norton781 Inc,Public Relations,Canada,MT,Harold Campbell,Customer,2000000,8000,SMB,21100
Transportation,Morgan782 Inc,Public Relations,Canada,SD,Doroth Gardner,Customer,2000000,8000,ENT,72110
Retail,Ingram783 Inc,Trade Show,Mexico,,Dennis Howard,Partner,2000000,8000,MM,21100
Agriculture,Palmer784 Inc,Partner,Canada,MS,Eric Gutierrez,Customer,2000000,8000,MM,72110
Biotechnology,Peters785 Inc,Word of mouth,Japan,,Harold Campbell,Partner,2000000,8000,MM,21100
Electronics,Hunt786 Inc,Word of mouth,Denmark,,Evelyn Williamson,Customer,2000000,8000,ENT,72110
Energy,Medina787 Inc,Web,Hong Kong,,Dennis Howard,Partner,2000000,8000,MM,21100
Utilities,French788 Inc,Partner,China,,Eric Gutierrez,Customer,2000000,8000,ENT,72110
Healthcare,Underwood789 Inc,Advertisement,India,,Johnny Green,Partner,2000000,8000,SMB,21100
Media,Keller1 Inc,Word of mouth,Canada,ND,Eric Gutierrez,Partner,2000000,8000,GB,72110
Healthcare,Herrera2 Inc,Trade Show,Canada,AR,Doroth Gardner,Customer,2000000,8000,COMM,21100
Transportation,Burgess3 Inc,Partner,Germany,,Julie Chavez,Customer,2000000,8000,COMM,72110
Engineering,Terry4 Inc,Advertisement,Turkey,,Julie Chavez,Partner,2000000,8000,SMB,21100
Agriculture,Robertson5 Inc,Employee Referral,Canada,AZ,Dennis Howard,Partner,2000000,8000,GB,72110
Insurance,Zimmerman6 Inc,Word of mouth,Thailand,,Irene Kelley,Customer,2000000,8000,MM,47429
Engineering,Holmes7 Inc,Word of mouth,Korea,,Dennis Howard,Customer,2000000,8000,MM,61900
Technology,Roberson8 Inc,Advertisement,Spain,,Chris Riley,Customer,2000000,8000,SMB,47429
Agriculture,Jefferson9 Inc,Advertisement,Switzerland,,Nicolas Weaver,Customer,2000000,4000,COMM,61900
Biotechnology,Mendez10 Inc,Web,Canada,MT,Laura Palmer,Customer,2000000,4000,SMB,47429
Healthcare,Graham11 Inc,Web,Turkey,,Eric Sanchez,Customer,2000000,4000,MM,61900
Manufacturing,Hardy12 Inc,Seminar - Internal,Canada,AR,Laura Palmer,Partner,2000000,4000,ESMB,47429
Banking,Harris13 Inc,Trade Show,Normway,,Laura Garza,Customer,2000000,4000,MM,61900
Telecommunications,Crawford14 Inc,Employee Referral,Belgium,,Eric Gutierrez,Customer,2000000,4000,COMM,47429
Utilities,Hampton15 Inc,Word of mouth,United Kingdom,,John Williams,Customer,2000000,4000,ENT,61900
Energy,Parker16 Inc,Employee Referral,USA,NC,Julie Chavez,Partner,2000000,4000,COMM,47429
Energy,Garza17 Inc,Trade Show,Canada,IN,Kelly Frazier,Partner,2000000,4000,MM,61900
Transportation,Ferguson18 Inc,Trade Show,Canada,NE,Laura Palmer,Partner,2000000,4000,MM,47429
Biotechnology,Bailey19 Inc,Word of mouth,USA,MT,Evelyn Williamson,Customer,2000000,4000,SMB,61900
Utilities,Vega20 Inc,Web,Korea,,Johnny Green,Customer,2000000,4000,GB,47429
Apparel,Goodman21 Inc,Partner,Germany,,Irene Kelley,Customer,2000000,4000,COMM,61900
Media,Austin22 Inc,Trade Show,Canada,MD,Harold Campbell,Customer,2000000,4000,MM,47429
Education,Byrd23 Inc,Employee Referral,Canada,MT,Harold Campbell,Customer,2000000,4000,ENT,61900
Energy,Lindsey24 Inc,Word of mouth,Italy,,Eric Sanchez,Customer,2000000,4000,SMB,47429
Communications,Lopez215 Inc,Web,Hong Kong,,Irene McCoy,Customer,2000000,4000,SMB,61900
Insurance,Tate216 Inc,Web,Canada,NV,Kelly Frazier,Partner,2000000,4000,SMB,47429
Biotechnology,Ingram217 Inc,Partner,Canada,MA,Catherine Brown,Partner,2000000,4000,MM,61900
Media,Lopez218 Inc,Employee Referral,USA,RI,Kelly Frazier,Customer,2000000,4000,SMB,47429
Consulting,Becker219 Inc,Web,Australia,,Bruce Kennedy,Customer,2000000,4000,MM,61900
Utilities,Cummings220 Inc,Partner,USA,IL,Bruce Kennedy,Customer,2000000,4000,ESMB,47429
Media,Harmon221 Inc,Word of mouth,Canada,HI,Johnny Green,Customer,2000000,4000,MM,61900
Energy,Singleton222 Inc,Employee Referral,USA,WY,Harold Campbell,Customer,2000000,4000,MM,85600
Education,Barber223 Inc,Employee Referral,Russian,,Julie Chavez,Customer,2000000,4000,MM,2400
Banking,Silva224 Inc,Partner,Brazil,,Bruce Kennedy,Customer,2000000,4000,MM,85600
Banking,Delgado225 Inc,Public Relations,United Kingdom,,Laura Garza,Partner,2000000,4000,SMB,2400
Media,Simmons226 Inc,Partner,China,,Dennis Howard,Customer,2000000,4000,GB,85600
