OpportunityId,PricebookEntryId,Quantity,TotalPrice
Opportunity for Chandler133,50,291,11640
Opportunity for Hopkins334,1600,677,947800
Opportunity for Marshall1894,50,1410,56400
Opportunity for Meyer677,550,868,434000
Opportunity for Johnston1953,50,1177,47080
Opportunity for Swanson1515,550,1719,859500
Opportunity for Fisher1458,60,484,24200
Opportunity for Estrada1122,450,1546,347850
Opportunity for Pittman483,300,1839,367800
Opportunity for Murphy1963,50,816,32640
Opportunity for Horton207,1000,1162,987700
Opportunity for Hunt362,800,1241,744600
Opportunity for Hubbard735,1000,1089,925650
Opportunity for Atkins860,150,581,69720
Opportunity for Ward1697,50,1249,49960
Opportunity for Barton675,100,1169,105210
Opportunity for Day250,150,1787,214440
Opportunity for Rose1564,100,475,42750
Opportunity for Townsend1256,100,336,30240
Opportunity for Tyler137,550,305,152500
Opportunity for Higgins293,300,1728,345600
Opportunity for Potter503,1400,194,242500
Opportunity for Farmer712,600,27,10800
Opportunity for Silva482,100,1281,115290
Opportunity for Reed39,1000,958,814300
Opportunity for Potter1867,50,997,39880
Opportunity for Adams87,60,443,22150
Opportunity for Matthews439,150,295,35400
Opportunity for Hart1497,550,1453,726500
Opportunity for Malone1276,450,872,196200
Opportunity for Johnson1707,1600,1765,2471000
Opportunity for Graham1073,50,398,15920
Opportunity for Sanders1345,50,521,20840
Opportunity for Ball1924,550,385,192500
Opportunity for Clark1635,1400,1975,2468750
Opportunity for Ramos435,450,969,218025
Opportunity for Maxwell1410,1400,1747,2183750
Opportunity for Townsend1470,800,1844,1106400
Opportunity for Mitchell1028,50,564,22560
Opportunity for Cole1782,1000,1190,1011500
Opportunity for Arnold1119,50,1123,44920
Opportunity for Lambert182,150,1945,233400
Opportunity for Sanders91,1200,999,1098900
Opportunity for Boyd290,550,1335,667500
Opportunity for Newton1872,60,839,41950
Opportunity for Flowers1862,100,1164,104760
Opportunity for Higgins835,300,363,72600
Opportunity for Barton1764,1000,909,772650
Opportunity for Campbell329,1600,1707,2389800
Opportunity for McCoy609,2000,1627,2603200
Opportunity for Fox834,1000,1139,968150
Opportunity for Perez683,300,968,193600
Opportunity for Taylor27,800,438,262800
Opportunity for Bishop1691,650,566,283000
Opportunity for Palmer380,1600,670,938000
Opportunity for Weber24,60,63,3150
Opportunity for Cross1247,100,1259,113310
Opportunity for Little142,2000,929,1486400
Opportunity for Weber703,60,1545,77250
Opportunity for McKinney1548,150,69,8280
Opportunity for Hardy1238,50,165,6600
Opportunity for Santiago36,50,815,32600
Opportunity for Jefferson416,550,1452,726000
Opportunity for Estrada621,1600,1124,1573600
Opportunity for Garcia1525,300,780,156000
Opportunity for Watts34,450,1022,229950
Opportunity for Curtis1571,150,1650,198000
Opportunity for Powers1638,500,443,221500
Opportunity for Bush283,1600,943,1320200
Opportunity for Mills123,1000,1197,1017450
Opportunity for Simpson1868,550,237,118500
Opportunity for Fox239,1600,1719,2406600
Opportunity for Hubbard1325,1400,346,432500
Opportunity for Cooper60,550,1531,765500
Opportunity for Nichols894,300,1801,360200
Opportunity for Mann1985,500,831,415500
Opportunity for Ramsey26,1200,587,645700
Opportunity for Rose1564,1400,1120,1400000
Opportunity for French1719,650,1857,928500
Opportunity for Hamilton246,150,1970,236400
Opportunity for Diaz1351,1400,1931,2413750
Opportunity for Owen1518,1600,1864,2609600
Opportunity for Brown318,450,1578,355050
Opportunity for Hodges1352,60,1501,75050
Opportunity for Gardner1632,1400,1896,2370000
Opportunity for Schultz195,450,1911,429975
Opportunity for McBride116,550,1591,795500
Opportunity for Hines219,1600,576,806400
Opportunity for Clark788,50,1120,44800
Opportunity for Carr1904,60,1270,63500
Opportunity for Roberson540,150,220,26400
Opportunity for Cunningham1320,1000,1358,1154300
Opportunity for Copeland1508,650,1553,776500
Opportunity for Bates504,800,956,573600
Opportunity for Burton1994,1000,1011,859350
Opportunity for Smith309,150,605,72600
Opportunity for Walker1342,50,1593,63720
Opportunity for Nguyen1510,550,1490,745000
Opportunity for Shaw138,1400,192,240000
Opportunity for Reeves721,650,94,47000
Opportunity for Lamb445,1400,1562,1952500
Opportunity for Clayton468,550,1860,930000
Opportunity for Frank1303,600,851,340400
Opportunity for Holloway633,60,760,38000
Opportunity for Soto1030,100,132,11880
Opportunity for Dean1735,150,759,91080
Opportunity for Gross21,100,279,25110
Opportunity for Warren1615,600,1180,472000
Opportunity for Harris1133,60,1896,94800
Opportunity for Ryan1382,150,488,58560
Opportunity for Singleton576,550,572,286000
Opportunity for Johnston824,2000,238,380800
Opportunity for Bush143,100,1063,95670
Opportunity for Todd162,550,264,132000
Opportunity for Garrett1512,1400,1582,1977500
Opportunity for Ortiz1039,150,802,96240
Opportunity for Ramsey1673,300,193,38600
Opportunity for Sanchez828,550,570,285000
Opportunity for Stokes556,650,53,26500
Opportunity for Gordon370,550,268,134000
Opportunity for Cannon1937,40,929,32515
Opportunity for Horton471,550,470,235000
Opportunity for Chandler1613,1200,1661,1827100
Opportunity for Carson1966,1400,1269,1586250
Opportunity for Gray461,550,684,342000
Opportunity for Scott450,1400,75,93750
Opportunity for Freeman367,60,866,43300
Opportunity for Wong544,2000,550,880000
Opportunity for Luna668,50,1456,58240
Opportunity for Ferguson1365,2000,1972,3155200
Opportunity for Paul1460,650,422,211000
Opportunity for Todd1490,500,239,119500
Opportunity for Goodwin400,100,1953,175770
Opportunity for Burke1881,550,1025,512500
Opportunity for Bailey1581,500,872,436000
Opportunity for Sutton912,50,1015,40600
Opportunity for Love368,450,1299,292275
Opportunity for Ramsey1673,600,1771,708400
Opportunity for Hamilton246,300,1135,227000
Opportunity for Pope1533,100,112,10080
Opportunity for Cook1988,1600,744,1041600
Opportunity for Powell899,1400,1442,1802500
Opportunity for Daniels1450,50,1140,45600
Opportunity for Smith232,50,845,33800
Opportunity for Murray61,650,880,440000
Opportunity for Wolfe608,550,815,407500
Opportunity for Barnett990,1600,1470,2058000
Opportunity for Cooper256,60,1039,51950
Opportunity for Luna711,550,70,35000
Opportunity for Ramos1127,50,389,15560
Opportunity for Joseph1446,1600,153,214200
Opportunity for Hardy1606,500,536,268000
Opportunity for Poole1123,1400,107,133750
Opportunity for Morton1098,550,1522,761000
Opportunity for Reed39,1000,557,473450
Opportunity for Bush1080,2000,954,1526400
Opportunity for Lopez212,300,1408,281600
Opportunity for Phillips1742,40,1241,43435
Opportunity for Collins1057,500,1944,972000
Opportunity for George1585,50,873,34920
Opportunity for Waters666,1200,1278,1405800
Opportunity for Joseph1310,1600,331,463400
Opportunity for Gibbs1874,1200,335,368500
Opportunity for Wise287,450,384,86400
Opportunity for Warren1722,500,675,337500
Opportunity for Singleton102,1400,1145,1431250
Opportunity for Elliott1378,550,1762,881000
Opportunity for Maldonado720,100,1164,104760
Opportunity for Dixon97,50,906,36240
Opportunity for Matthews459,600,725,290000
Opportunity for Schneider651,650,1667,833500
Opportunity for Malone741,550,379,189500
Opportunity for Hopkins1617,50,1277,51080
Opportunity for Poole970,2000,1595,2552000
Opportunity for Hunt362,550,301,150500
Opportunity for Ingram270,1400,1421,1776250
Opportunity for Rodgers1051,800,433,259800
Opportunity for Gibson1999,500,1682,841000
Opportunity for Hart1577,650,600,300000
Opportunity for Chavez552,60,540,27000
Opportunity for Phillips16,500,466,233000
Opportunity for French1647,50,1117,44680
Opportunity for Cunningham1320,50,1763,70520
Opportunity for White1982,300,1026,205200
Opportunity for Beck1053,1200,846,930600
Opportunity for Herrera1391,150,397,47640
Opportunity for Smith1859,550,1854,927000
Opportunity for Wright924,60,1003,50150
Opportunity for Garcia1525,300,1994,398800
Opportunity for Sanchez1097,450,624,140400
Opportunity for Brady910,600,932,372800
Opportunity for Porter1185,60,743,37150
Opportunity for Holloway1741,100,110,9900
Opportunity for Lee341,50,263,10520
Opportunity for Weber703,100,1292,116280
Opportunity for Johnson217,800,1092,655200
Opportunity for Walker170,500,986,493000
Opportunity for Wilson104,1200,1960,2156000
Opportunity for Blake587,550,1018,509000
Opportunity for Powell769,60,1176,58800
Opportunity for Jackson1090,150,1431,171720
Opportunity for Hudson1686,50,265,10600
Opportunity for Clark1832,1400,65,81250
Opportunity for Lloyd1165,550,687,343500
Opportunity for Gill1990,1000,312,265200
Opportunity for West648,1200,697,766700
Opportunity for Wilkins415,550,1955,977500
Opportunity for Ford168,50,337,13480
Opportunity for Osborne613,50,1354,54160
Opportunity for Bowers761,50,1191,47640
Opportunity for Lamb1286,500,741,370500
Opportunity for McCoy136,550,704,352000
Opportunity for Rose1564,1200,2000,2200000
Opportunity for Scott450,800,1173,703800
Opportunity for Frazier196,100,1830,164700
Opportunity for Hughes705,2000,874,1398400
Opportunity for Beck451,100,314,28260
Opportunity for Martin324,150,1512,181440
Opportunity for Rios1565,1400,484,605000
Opportunity for Dennis524,1000,1401,1190850
Opportunity for Hampton886,50,258,10320
Opportunity for Mitchell1766,300,338,67600
Opportunity for McGee1757,600,902,360800
Opportunity for Carpenter467,1600,1356,1898400
Opportunity for Love368,50,409,16360
Opportunity for Evans911,100,1727,155430
Opportunity for Pratt1705,1000,665,565250
Opportunity for Cross303,1000,1835,1559750
Opportunity for Hernandez874,60,247,12350
Opportunity for Chandler755,1000,312,265200
Opportunity for Powers840,1200,307,337700
Opportunity for West913,50,1126,45040
Opportunity for Bowen1928,1400,370,462500
Opportunity for Chandler1672,1200,1946,2140600
Opportunity for Clark167,150,1549,185880
Opportunity for Nguyen1971,150,1570,188400
Opportunity for Phelps967,1600,1817,2543800
Opportunity for Chavez1340,50,1446,57840
Opportunity for Park1980,1000,627,532950
Opportunity for Wilkerson493,550,562,281000
Opportunity for Boyd1179,1600,988,1383200
Opportunity for Cohen96,1600,307,429800
Opportunity for Rice41,500,716,358000
Opportunity for Bowen1968,60,1350,67500
Opportunity for Rodriguez1541,550,1441,720500
Opportunity for Gibson571,1000,112,95200
Opportunity for Smith1859,100,231,20790
Opportunity for Potter1802,500,811,405500
Opportunity for Stanley989,150,1367,164040
Opportunity for Rodriquez1469,650,855,427500
Opportunity for Morton406,150,861,103320
Opportunity for Waters1188,650,538,269000
Opportunity for Dennis524,500,1082,541000
Opportunity for Robinson994,550,1467,733500
Opportunity for Johnson854,650,721,360500
Opportunity for McBride960,300,493,98600
Opportunity for McCarthy99,2000,105,168000
Opportunity for Mendoza1637,1400,1963,2453750
Opportunity for Estrada1124,1600,811,1135400
Opportunity for Morales1660,2000,248,396800
Opportunity for West620,1200,1956,2151600
Opportunity for Greene839,1600,783,1096200
Opportunity for Miles1094,60,36,1800
Opportunity for Banks1038,50,976,39040
Opportunity for Walton1466,550,868,434000
Opportunity for Dawson434,1600,183,256200
Opportunity for Stone1959,450,81,18225
Opportunity for Underwood1084,1600,1640,2296000
Opportunity for Gill1599,1000,478,406300
Opportunity for Santiago1841,2000,417,667200
Opportunity for Bush1080,1400,407,508750
Opportunity for Tate1737,50,263,10520
Opportunity for Hill1448,1200,1472,1619200
Opportunity for Hughes1780,600,1767,706800
Opportunity for Watson580,1000,1060,901000
Opportunity for Patton1020,300,587,117400
Opportunity for Cooper408,150,1963,235560
Opportunity for Diaz697,650,1083,541500
Opportunity for Steele421,2000,763,1220800
Opportunity for Harvey554,600,78,31200
Opportunity for Newman536,60,428,21400
Opportunity for Floyd923,800,109,65400
Opportunity for Ramsey1863,100,1450,130500
Opportunity for Butler33,1600,1253,1754200
Opportunity for Nichols894,1000,1786,1518100
Opportunity for Campbell329,650,1295,647500
Opportunity for Gray1275,2000,597,955200
Opportunity for Oliver1996,550,928,464000
Opportunity for Bowman1929,1600,1652,2312800
Opportunity for Christensen1921,550,467,233500
Opportunity for Morrison1784,60,1736,86800
Opportunity for McCormick23,500,1312,656000
Opportunity for Neal351,150,28,3360
Opportunity for McCoy901,1400,1271,1588750
Opportunity for Tate1018,50,114,4560
Opportunity for Silva498,550,1012,506000
Opportunity for Ruiz1499,2000,1433,2292800
Opportunity for Dean1735,150,851,102120
Opportunity for Grant1291,550,1769,884500
Opportunity for Quinn1489,2000,1126,1801600
Opportunity for Dixon1108,800,640,384000
Opportunity for Boyd1179,500,1531,765500
Opportunity for Blake1009,150,390,46800
Opportunity for Scott121,550,1289,644500
Opportunity for Guzman1265,550,1545,772500
Opportunity for White1982,550,216,108000
Opportunity for Miles1826,2000,1757,2811200
Opportunity for Nash1607,1400,744,930000
Opportunity for Hampton920,450,1318,296550
Opportunity for Newman1387,100,1617,145530
Opportunity for Rice41,650,229,114500
Opportunity for McLaughlin1979,40,1222,42770
Opportunity for Adkins1052,1400,258,322500
Opportunity for Palmer380,50,1847,73880
Opportunity for Zimmerman1075,550,1565,782500
Opportunity for Henry479,500,283,141500
Opportunity for Lloyd988,50,311,12440
Opportunity for Peters242,1200,1710,1881000
Opportunity for Fletcher1758,50,1890,75600
Opportunity for Duncan1485,60,1828,91400
Opportunity for Coleman892,1600,1851,2591400
Opportunity for Grant1488,300,747,149400
Opportunity for Doyle126,1000,1080,918000
Opportunity for Roberson449,300,532,106400
Opportunity for Parks1244,650,873,436500
Opportunity for Baker891,500,611,305500
Opportunity for Quinn1489,500,1740,870000
Opportunity for Watts971,1000,266,226100
Opportunity for Sullivan197,2000,240,384000
Opportunity for Adams708,50,148,5920
Opportunity for Chandler1281,500,804,402000
Opportunity for McKinney1548,1600,1121,1569400
Opportunity for Hoffman1037,100,1867,168030
Opportunity for Rios1769,2000,21,33600
Opportunity for Moreno465,150,91,10920
Opportunity for Logan599,100,819,73710
Opportunity for Drake1130,650,392,196000
Opportunity for Butler33,550,1679,839500
Opportunity for Daniel875,1400,1994,2492500
Opportunity for Cohen1714,100,1531,137790
Opportunity for Dixon1728,60,1595,79750
Opportunity for Medina1531,1000,1395,1185750
Opportunity for Simpson211,1200,234,257400
Opportunity for Chavez552,1000,100,85000
Opportunity for Ellis192,800,206,123600
Opportunity for Franklin519,50,1401,56040
Opportunity for Hanson323,50,1254,50160
Opportunity for Cortez1855,150,457,54840
Opportunity for Moss58,450,1733,389925
Opportunity for Mack883,50,1232,49280
Opportunity for McCormick1685,50,1117,44680
Opportunity for Bridges897,1400,993,1241250
Opportunity for Walton1466,60,1722,86100
Opportunity for Greene393,600,932,372800
Opportunity for Fletcher438,60,558,27900
Opportunity for Franklin519,550,976,488000
Opportunity for Sullivan800,550,862,431000
Opportunity for Holland1478,60,1172,58600
Opportunity for Daniels627,650,1026,513000
Opportunity for Wright926,1400,612,765000
Opportunity for Smith309,550,1958,979000
Opportunity for Bass1226,100,333,29970
Opportunity for Olson321,550,1070,535000
Opportunity for Murphy267,100,907,81630
Opportunity for Copeland46,50,1905,76200
Opportunity for McKenzie412,1600,1792,2508800
Opportunity for Peterson1536,800,35,21000
Opportunity for Bryan1641,100,387,34830
Opportunity for McCoy609,1200,1919,2110900
Opportunity for Cannon1396,600,291,116400
Opportunity for Dunn946,1400,1588,1985000
Opportunity for Yates557,550,695,347500
Opportunity for Russell996,50,892,35680
Opportunity for Andrews1118,100,78,7020
Opportunity for Gill1167,300,1566,313200
Opportunity for Edwards146,1000,1395,1185750
Opportunity for Cannon420,300,1121,224200
Opportunity for Moran1815,1600,1254,1755600
Opportunity for Russell222,2000,1805,2888000
Opportunity for Maxwell1704,50,438,17520
Opportunity for Martin1417,550,1129,564500
Opportunity for Lawson1843,500,626,313000
Opportunity for Wallace1161,60,225,11250
Opportunity for Santos1305,50,366,14640
Opportunity for Reed1483,500,1674,837000
Opportunity for Lamb346,1000,418,355300
Opportunity for Guzman685,2000,631,1009600
Opportunity for Pratt918,150,1980,237600
Opportunity for Lewis1160,100,658,59220
Opportunity for Pierce1329,450,1206,271350
Opportunity for Stone1195,800,61,36600
Opportunity for Luna711,2000,103,164800
Opportunity for Dunn946,550,735,367500
Opportunity for Wilkins1370,550,464,232000
Opportunity for Wilkins391,1400,363,453750
Opportunity for Gordon1743,500,1896,948000
Opportunity for Ferguson422,50,905,36200
Opportunity for Gill1044,650,1922,961000
Opportunity for McCarthy999,600,1938,775200
Opportunity for Fitzgerald131,1200,1331,1464100
Opportunity for Keller1100,50,1567,62680
Opportunity for Harvey1369,50,1831,73240
Opportunity for Quinn715,150,734,88080
Opportunity for Hale974,1200,441,485100
Opportunity for Barnes698,1000,1701,1445850
Opportunity for Barnett1692,550,300,150000
Opportunity for Swanson353,1600,192,268800
Opportunity for Freeman849,50,67,2680
Opportunity for Peters521,100,564,50760
Opportunity for Collins1057,650,646,323000
Opportunity for Webster1954,50,174,6960
Opportunity for Graves1407,100,1801,162090
Opportunity for Palmer1272,1400,1267,1583750
Opportunity for Christensen166,1400,1507,1883750
Opportunity for Zimmerman1520,800,1190,714000
Opportunity for Higgins1147,800,380,228000
Opportunity for Cunningham1320,1600,1637,2291800
Opportunity for Gordon748,300,103,20600
Opportunity for Ingram699,550,1600,800000
Opportunity for Owen1445,450,615,138375
Opportunity for Vega154,60,1147,57350
Opportunity for Carpenter951,550,1796,898000
Opportunity for Bradley1628,100,969,87210
Opportunity for Crawford809,50,703,28120
Opportunity for Pearson1986,500,1760,880000
Opportunity for Mason878,550,93,46500
Opportunity for Kelley526,100,573,51570
Opportunity for Collins1668,650,45,22500
Opportunity for Hernandez1875,150,1212,145440
Opportunity for Hodges1437,550,1511,755500
Opportunity for Ball1234,300,1015,203000
Opportunity for Cole527,550,1589,794500
Opportunity for Sullivan245,50,1114,44560
Opportunity for Anderson1911,100,374,33660
Opportunity for McCormick1688,550,1075,537500
Opportunity for Kelley1593,1000,143,121550
Opportunity for Gordon748,1200,397,436700
Opportunity for Mills871,1600,589,824600
Opportunity for Robbins1443,100,1943,174870
Opportunity for Marsh808,150,465,55800
Opportunity for Reeves502,50,1041,41640
Opportunity for Rice41,300,1853,370600
Opportunity for Reese570,150,1699,203880
Opportunity for McBride1526,100,203,18270
Opportunity for Hansen264,100,1685,151650
Opportunity for Olson321,650,1856,928000
Opportunity for Knight328,550,346,173000
Opportunity for Smith8,1400,1224,1530000
Opportunity for Moss574,100,343,30870
Opportunity for Wong939,60,1376,68800
Opportunity for Alexander455,1400,803,1003750
Opportunity for Hoffman339,650,943,471500
Opportunity for Hawkins1574,150,1265,151800
Opportunity for Hughes978,1400,1150,1437500
Opportunity for Walker865,550,1664,832000
Opportunity for Hall1897,1000,1440,1224000
Opportunity for Hart1416,800,475,285000
Opportunity for Romero1667,550,807,403500
Opportunity for Benson1702,1200,1662,1828200
Opportunity for Brown318,50,564,22560
Opportunity for Fitzgerald1884,500,435,217500
Opportunity for Ingram699,450,675,151875
Opportunity for Powell769,550,1798,899000
Opportunity for Evans115,600,1660,664000
Opportunity for Lane1991,650,257,128500
Opportunity for Holmes265,150,1722,206640
Opportunity for Weaver1625,550,316,158000
Opportunity for Osborne1170,150,599,71880
Opportunity for Cole1302,1600,1492,2088800
Opportunity for Castro469,150,1475,177000
Opportunity for Rodriquez1114,50,1975,79000
Opportunity for Stewart887,800,276,165600
Opportunity for Gill1772,50,1822,72880
Opportunity for Ingram356,1400,653,816250
Opportunity for Newton1243,650,140,70000
Opportunity for Owens1067,2000,1069,1710400
Opportunity for Cohen1199,60,1455,72750
Opportunity for Vaughn1113,50,1204,48160
Opportunity for Crawford1065,60,361,18050
Opportunity for Parsons66,1200,766,842600
Opportunity for Keller1100,1000,1238,1052300
Opportunity for Shaw178,100,1571,141390
Opportunity for Bishop1962,1200,1469,1615900
Opportunity for Ingram270,2000,1316,2105600
Opportunity for Flowers1940,500,517,258500
Opportunity for Jimenez15,1200,984,1082400
Opportunity for Olson321,50,1098,43920
Opportunity for Stevenson670,1400,1095,1368750
Opportunity for Schneider782,1000,1300,1105000
Opportunity for Pittman263,2000,184,294400
Opportunity for Stewart887,60,1384,69200
Opportunity for Erickson401,2000,1781,2849600
Opportunity for Collins1668,2000,766,1225600
Opportunity for Harvey1369,550,363,181500
Opportunity for Webb1055,1600,897,1255800
Opportunity for Simon1655,800,575,345000
Opportunity for Vaughn1113,550,245,122500
Opportunity for Maldonado516,800,1368,820800
Opportunity for Parsons1664,1600,359,502600
Opportunity for Torres803,1200,1569,1725900
Opportunity for Hubbard606,60,757,37850
Opportunity for Morales1749,100,393,35370
Opportunity for Walters765,60,1435,71750
Opportunity for Cole1302,650,1334,667000
Opportunity for Newman266,550,333,166500
Opportunity for Padilla1409,150,814,97680
Opportunity for Sparks1346,550,1989,994500
Opportunity for Hall1835,800,1221,732600
Opportunity for Hubbard735,650,1282,641000
Opportunity for Edwards1049,300,1498,299600
Opportunity for Murray1311,550,587,293500
Opportunity for Cooper60,150,313,37560
Opportunity for Johnston824,50,914,36560
Opportunity for Morton406,150,372,44640
Opportunity for Freeman849,100,466,41940
Opportunity for Knight328,2000,393,628800
Opportunity for Stevenson1289,50,679,27160
Opportunity for Walker546,150,207,24840
Opportunity for Garner484,40,278,9730
Opportunity for Harrington1580,550,1076,538000
Opportunity for Parsons1664,50,1132,45280
Opportunity for Riley1579,1600,100,140000
Opportunity for Payne598,650,1027,513500
Opportunity for Kennedy1514,100,1447,130230
Opportunity for West648,300,17,3400
Opportunity for McCormick1688,650,1165,582500
Opportunity for Weaver1625,50,1162,46480
Opportunity for Bridges1787,60,949,47450
Opportunity for McKenzie1898,150,1398,167760
Opportunity for Davidson1348,2000,1743,2788800
Opportunity for Hughes209,50,491,19640
Opportunity for Arnold55,1200,1021,1123100
Opportunity for Roy337,2000,715,1144000
Opportunity for Lloyd1812,50,584,23360
Opportunity for Bishop850,150,110,13200
Opportunity for West648,50,69,2760
Opportunity for Sanders315,500,1351,675500
Opportunity for Morton559,50,757,30280
Opportunity for Salazar499,40,901,31535
Opportunity for Bell690,1000,559,475150
Opportunity for Singleton102,100,1313,118170
Opportunity for West1117,150,631,75720
Opportunity for Kelly1755,450,627,141075
Opportunity for Williamson1926,650,414,207000
Opportunity for Rhodes1746,1200,835,918500
Opportunity for Cobb427,50,1060,42400
Opportunity for Dennis806,1200,1695,1864500
Opportunity for Chambers409,1000,1263,1073550
Opportunity for Johnston1675,450,703,158175
Opportunity for Brock1290,2000,820,1312000
Opportunity for Nash1178,1000,180,153000
Opportunity for Hughes679,2000,1895,3032000
Opportunity for Doyle1654,60,1033,51650
Opportunity for Maxwell1704,150,41,4920
Opportunity for Holland547,2000,1005,1608000
Opportunity for Carson641,300,1258,251600
Opportunity for McBride1915,100,425,38250
Opportunity for McDaniel1873,550,1675,837500
Opportunity for Matthews439,100,929,83610
Opportunity for Valdez617,100,669,60210
Opportunity for Martin1212,2000,174,278400
Opportunity for Tyler316,50,14,560
Opportunity for Lopez212,1600,1255,1757000
Opportunity for Chandler1439,500,316,158000
Opportunity for Jacobs1106,50,1960,78400
Opportunity for Osborne1208,100,1842,165780
Opportunity for Coleman975,50,861,34440
Opportunity for Ryan1277,550,1574,787000
Opportunity for Newman1387,800,648,388800
Opportunity for Hamilton758,40,1693,59255
Opportunity for Herrera430,650,698,349000
Opportunity for Colon1047,50,17,680
Opportunity for Armstrong296,150,1967,236040
Opportunity for Hughes1780,1400,390,487500
Opportunity for Harrison791,100,1325,119250
Opportunity for Anderson1059,300,1378,275600
Opportunity for Freeman268,550,1154,577000
Opportunity for Flowers1539,1400,236,295000
Opportunity for Johnston824,650,993,496500
Opportunity for Gardner1632,50,1993,79720
Opportunity for Becker221,450,801,180225
Opportunity for McKenzie1905,40,1198,41930
Opportunity for Chavez1002,1600,159,222600
Opportunity for Harmon1481,50,1760,70400
Opportunity for Meyer550,60,1146,57300
Opportunity for Burton1624,1600,757,1059800
Opportunity for McLaughlin130,550,1366,683000
Opportunity for Malone1500,800,973,583800
Opportunity for Bowen253,650,542,271000
Opportunity for Baker1304,60,1999,99950
Opportunity for McBride1526,100,1148,103320
Opportunity for Harrington1112,1400,724,905000
Opportunity for Wright924,60,1939,96950
Opportunity for Saunders647,550,1421,710500
Opportunity for Paul763,550,408,204000
Opportunity for Watson667,550,889,444500
Opportunity for Hart1350,800,877,526200
Opportunity for Cole1782,1400,1302,1627500
Opportunity for Montgomery1950,550,1537,768500
Opportunity for Norris348,2000,635,1016000
Opportunity for Howard1193,50,641,25640
Opportunity for Grant1848,500,1606,803000
Opportunity for Blake1009,800,981,588600
Opportunity for Caldwell1878,1000,731,621350
Opportunity for Rodgers132,100,1011,90990
Opportunity for Townsend767,150,216,25920
Opportunity for Lopez212,600,348,139200
Opportunity for Paul1460,1600,1788,2503200
Opportunity for Hernandez555,60,236,11800
Opportunity for Newman536,60,1616,80800
Opportunity for Bowman1929,1000,1559,1325150
Opportunity for Oliver1504,800,1721,1032600
